T?NG H?P T?N KHO;;;;;;;;
Kho: Kho Vientiane SPM, T? ngày 04/10/2025 ??n ngày 20/12/2025;;;;;;;;
STT;Mã hàng;Tên hàng;?VT;Cu?i k?;SL Ki?m kê;Chênh l?ch;Ghi chú;
;;;;S? l??ng;;;;
1;8993175566834;AHH Strawberry 9g;Gói;16 ;;;;
2;8857123882127;Aluminium CP 10m x 30cm - ??1030;Box;202 ;;;;
3;8857123882134;Aluminium CP 10m x 45cm - ??1045;Box;278 ;;;;
4;8857123882332;Aluminum CP 3 m x 30cm - ??0330;Box;673 ;;;;
5;8857123882448;Aluminum CP 5 m * 45cm - ??0545;Box;621 ;;;;
6;840205705467;Bake Nest Biscuit (Glucose ) 35g * 10 PCS *12 - ????35;Fax;4.933 ;;;;
7;840205705481;Bake Nest Biscuit (Maltn Milk ) 35g * 10 PCS *12 - ????35;Fax;5.063 ;;;;
8;8857123818607;Basil Seed Drink Lychee  350ml;Bot;138 ;;;;
9;8857123818386;Basil Seed Drink Pineapple 350ml;Bot;66 ;;;;
10;8857123818423;Basil Seed Drink Pomegranate  350ml;Bot;96 ;;;;
11;88571238183487;Basil Seed Drink Strawberry  350ml;Bot;36 ;;;;
12;80W90EP;BVP BP England 80W-90 EP;Tuýp;20 ;;;;
13;8938507821144;Capuchino coffee napoli bag 18 - ???? Capuchino 18??? (29Gx18Sachets);Bag;1 ;;;;
14;8938507821083;Capuchino coffee napoli box 10 - ???? Capuchino 10??? (29Gx10Sachets);Box;62 ;;;;
15;8938507821267;Capuchino coffee napoli box 5 - Cà phê Capuchino 5??????? (29Gx5sachets);Box;129 ;;;;
16;8938507821045;coco napoli 6in1 bag 10 - ????? 6 IN 1 ?????? (1 Pack = 10 Sachets 22G);Pack;769 ;;;;
17;8938507821021;coco napoli 6in1 box 10 - ????? 6 IN 1 ?????? (22Gx10Sachets);Box;33 ;;;;
18;8935024173084;Coffee G7 3 in1 Bag 20 Sticks - ??G7?20;Bag;1.484 ;;;;
19;8935024129357;Coffee G7 3 in1 Bag 50 Sachets - ??G7?50 (PASG);Bag;225 ;;;;
20;8935024122310;Coffee G7 3 in1 Box18 Sticks - ??G7?18;Box;380 ;;;;
21;8935024126844;Coffee G7 3IN1 Bag 100 stick * 16g;Bag;203 ;;;;
22;8935024123287;Coffee G7 3in1 box21 - ??G7?21;Box;1.517 ;;;;
23;8935024120187;Coffee G7 Pure Black Box15 Sachets -??G7??15;Box;1.231 ;;;;
24;8935024170533;Coffee Legend legend classic bag 50 - ?????50;Bag;1 ;;;;
25;8935024170519;Coffee Legend legend classic box 21 - ?????21;Box;0 ;;;;
26;8936052760437;Craker korky cheese 285g -????????????????? ?????? ??? 285g;Bag;1.235 ;;;;
27;8936052761052;Craker korky chocolate choconut250g -????????????????? ?????? ?????????????????? 250g;Bag;1.364 ;;;;
28;8857128993552;Crunch Cream - Crispy Bar vvith Milk Flavor;Box;58 ;;;;
29;8857128993569;Crunch Cream - Crispy Bar with Chocolate Flavor;Box;17.961 ;;;;
30;8935020217010;Chateau Dalat Signature Shiraz 750ml;Bot;4 ;;;;
31;8935020202016;Chateau Dalat Special Cabernet Sauvignon 750ml;Bot;30 ;;;;
32;8935020231017;Chateau Dalat Special Sauvignon Blanc 750ml  - ??????750;Bot;18 ;;;;
33;8935020209572;Dalat Red Wine Classic 750ml;Bot;0 ;;;;
34;8935020210677;Dalat Red wine Dankia 750ml - ??????750;Bot;756 ;;;;
35;8935020254015;Dalat Red wine Excellence 750ml;Bot;216 ;;;;
36;8935020226050;Dalat Red wine Export 750ml;Bot;180 ;;;;
37;8935020209602;Dalat white wine Clasic 750ml;Bot;433 ;;;;
38;8935020259010;Dalat White wine Excellence 750ml - ??????750;Bot;83 ;;;;
39;8935020244016;Dalat White wine Export 750ml;Bot;17 ;;;;
40;8935020211735;DALAT WINE PREMIER ( new ) 750ml - ??????????????? 750ml ??????;Chai;1.542 ;;;;
41;28935020211739;DALAT WINE PREMIER 750ml - ???????????????  750ml;Chai;5 ;;;;
42;8857123882776;Fax Ahan CP - 400m x 30cm - ??40030;Box;98 ;;;;
43;8857123882554;Fax ahan CP 200m x 30cm - ??20030;Box;91 ;;;;
44;8857123882349;Fax ahan CP 30cm x30cm - ??3030;Box;212 ;;;;
45;8857123882882;Fax ahan CP 600 x 45cm -??60045;Box;156 ;;;;
46;8857128993620;Fax Ahan spcooks 250*30cm  - ??????? SPCooks 250*30??;Cái;0 ;;;;
47;8857128993637;Fax Ahan spcooks 450*30cm  - ??????? SPCooks 450*30??;Cái;25 ;;;;
48;831730000707;FRUIT COCKTAIL TETRA 1000ML-PRAN ???????????? 1000ml x 12 ???;Chai;4.378 ;;;;
49;8935024171370;G7 Black Instant coffee - box 50 sachets;Box;536 ;;;;
50;8857128993927;Hang 200 Original (???????????);Bottle;7.553 ;;;;
51;8857128993910;Hang 200 Stawberry (?????????????);Bottle;9.639 ;;;;
52;841165160037;Hurray Gems - 10g x 30pcs x 6 jar;Bot;584 ;;;;
53;8938507821281;ices coffee napoli 2in1 box 10 - ??????????? 2in1 (17Gx6sachets);Box;73 ;;;;
54;8938507821373;ices coffee napoli bag 10 - ???????????????? ?????? (1 pack = 10 sachets 16G);Pack;469 ;;;;
55;8938507821458;ices coffee napoli box 10 - ???????????????? ?????? (16Gx10Sachets);Box;9 ;;;;
56;8935057102778;jelly Zai Zai  lod sa nom 320g;Bag;833 ;;;;
57;8935057102846;jelly Zai Zai  mark mai luam 210g;Bag;2.388 ;;;;
58;8935057101757;jelly Zai Zai  mark mai luam 350g;Bag;728 ;;;;
59;8935057102853;jelly Zai Zai lod sa nom 210g;Bag;1.294 ;;;;
60;8935057102860;jelly Zai Zai mark mai luam 160g;Bag;3.644 ;;;;
61;8935057102662;jelly Zai Zai mark mai luam 320g;Bag;1.345 ;;;;
62;8936036 963267;Ker mao khang- Viên gi?i r??u;Tube;2 ;;;;
63;KMM;Ket pau mark may op heng;An;50 ;;;;
64;8936052761236;KN banana Q3 250g -????????????????? ??????????;Bag;51 ;;;;
65;KTMVA;kong 0 thong mue Viet an size ( M & L );Cái;600 ;;;;
